Gyógyszer neve;Hatóanyag;ATC-kód;Forgalomba hozatali eng. jogosultja;Nyilvántartási szám;Kiszerelés;Kiadhatóság;KP besorolás;Státusz;Engedélyezés dátuma;Törlés dátuma;
Abseamed  2000 NE/1,0 ml oldatos injekció elõretöltött fecskendõben;epoetin alfa;B03XA01;Medice Arzneimittel Pütter GmbH & Co. KG;EU/1/07/412;1 X   - elõretöltött fecskendõben, 1 X   - elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben;Sz ;;CTK;2007.08.28;..;
Abseamed  3000 NE/0,3 ml oldatos injekció elõretöltött fecskendõben;epoetin alfa;B03XA01;Medice Arzneimittel Pütter GmbH & Co. KG;EU/1/07/412;1 X   - elõretöltött fecskendõben, 1 X   - elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben;Sz ;;CTK;2007.08.28;..;
Abseamed  4000 NE/0,4 ml oldatos injekció elõretöltött fecskendõben;epoetin alfa;B03XA01;Medice Arzneimittel Pütter GmbH & Co. KG;EU/1/07/412;1 X   - elõretöltött fecskendõben, 1 X   - elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben;Sz ;;CTK;2007.08.28;..;
Abseamed  5000 NE/0,5 ml oldatos injekció elõretöltött fecskendõben;epoetin alfa;B03XA01;Medice Arzneimittel Pütter GmbH & Co. KG;EU/1/07/412;1 X   - elõretöltött fecskendõben, 1 X   - elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben;Sz ;;CTK;2007.08.28;..;
Abseamed  6000 NE/0,6 ml oldatos injekció elõretöltött fecskendõben;epoetin alfa;B03XA01;Medice Arzneimittel Pütter GmbH & Co. KG;EU/1/07/412;1 X   - elõretöltött fecskendõben, 1 X   - elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben;Sz ;;CTK;2007.08.28;..;
Abseamed  7000 NE/0,7 ml oldatos injekció elõretöltött fecskendõben;epoetin alfa;B03XA01;Medice Arzneimittel Pütter GmbH & Co. KG;EU/1/07/412;1 X   - elõretöltött fecskendõben, 1 X   - elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben;Sz ;;CTK;2008.06.27;..;
Abseamed  8000 NE/0,8 ml oldatos injekció elõretöltött fecskendõben;epoetin alfa;B03XA01;Medice Arzneimittel Pütter GmbH & Co. KG;EU/1/07/412;1 X   - elõretöltött fecskendõben, 1 X   - elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben;Sz ;;CTK;2007.08.28;..;
Abseamed  9000 NE/0,9 ml oldatos injekció elõretöltött fecskendõben;epoetin alfa;B03XA01;Medice Arzneimittel Pütter GmbH & Co. KG;EU/1/07/412;1 X   - elõretöltött fecskendõben, 1 X   - elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben;Sz ;;CTK;2008.06.27;..;
Abseamed 10000 NE/1,0 ml oldatos injekció elõretöltött fecskendõben;epoetin alfa;B03XA01;Medice Arzneimittel Pütter GmbH & Co. KG;EU/1/07/412;1 X   - elõretöltött fecskendõben, 1 X   - elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben;Sz ;;CTK;2007.08.28;..;
Abseamed 20000 NE/0,5 ml oldatos injekció elõretöltött fecskendõben;epoetin alfa;B03XA01;Medice Arzneimittel Pütter GmbH & Co. KG;EU/1/07/412;1 X   - elõretöltött fecskendõben, 1 X   - elõretöltött fecskendõben, 4 X 0.5 ml elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben;Sz ;;CTK;2009.11.26;..;
Abseamed 30000 NE/0,75 ml oldatos injekció elõretöltött fecskendõben;epoetin alfa;B03XA01;Medice Arzneimittel Pütter GmbH & Co. KG;EU/1/07/412;1 X   - elõretöltött fecskendõben, 1 X   - elõretöltött fecskendõben, 4 X 0.75 ml elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben;Sz ;;CTK;2009.11.26;..;
Abseamed 40000 NE/1,0 ml oldatos injekció elõretöltött fecskendõben;epoetin alfa;B03XA01;Medice Arzneimittel Pütter GmbH & Co. KG;EU/1/07/412;1 X   - elõretöltött fecskendõben, 1 X   - elõretöltött fecskendõben, 4 X 1 ml elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben;Sz ;;CTK;2009.11.26;..;
ABSIMKY 130 mg koncentrátum oldatos infúzióhoz;ustekinumab;L04AC05;Accord Healthcare S.L.U.;EU/1/24/1880;1 X 26 ml injekciós üvegben;Sz ;;CTK;2024.12.12;..;
ABSIMKY 45 mg oldatos injekció elõretöltött fecskendõben;ustekinumab;L04AC05;;EU/1/24/1880;1 X 0.5  ml elõretöltött fecskendõben;Sz ;;CTK;2024.12.12;..;
ABSIMKY 90 mg oldatos injekció elõretöltött fecskendõben;ustekinumab;L04AC05;Accord Healthcare S.L.U.;EU/1/24/1880;1 X 1  ml elõretöltött fecskendõben;Sz ;;CTK;2024.12.12;..;
ACARIZAX 12 SQ HDM nyelvalatti liofilizátum;dermatophagoides pteronyssinus allergen extract, dermatophagoides farinae allergen extract;V01AA03;Alk-Abelló A/S;OGYI-T-23616;10 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban;V ;;TK;2019.11.13;..;
ACARIZAX 12 SQ-HDM belsõleges liofilizátum;dermatophagoides pteronyssinus allergen extract, dermatophagoides farinae allergen extract;V01AA03;Alk-Abelló A/S;OGYI-T-23616;; ;;ATT;2019.11.13;2023.07.31;
ACC 100 mg granulátum gyermekeknek;acetylcysteine;R05CB01;Sandoz Hungária Kft.;OGYI-T-02021;20 X 3 g tasakban, 30 X 3 g tasakban;VN  ;;TK;1992.01.01;..;
ACC 20 mg/ml belsõleges oldat;acetylcysteine;R05CB01;Sandoz Hungária Kft.;OGYI-T-02021;1 X 100 ml üvegben, 1 X 200 ml üvegben;VN ;;TK;2012.10.26;..;
ACC 200 mg granulátum;acetylcysteine;R05CB01;Sandoz Hungária Kft.;OGYI-T-02021;20 X 3 g tasakban, 30 X 3 g tasakban;VN  ;;TK;1992.01.01;..;
ACC 200 mg pezsgõtabletta;acetylcysteine;R05CB01;Sandoz Hungária Kft.;OGYI-T-02021;20 X   - PP tartályban, 20 X   - tasakban;VN ;;TK;1997.01.01;..;
ACC HOT 600 mg por belsõleges oldathoz;acetylcysteine;R05CB01;Sandoz Hungária Kft.;OGYI-T-02021;10 X   - tasakban, 6 X   - tasakban;VN ;;TK;2012.10.26;..;
ACC INSTANT 600 mg belsõleges por;acetylcysteine;R05CB01;Sandoz Hungária Kft.;OGYI-T-02021;10 X   - tasakban, 20 X   - tasakban, 30 X   - tasakban;VN ;;TT;2017.06.28;2023.06.06;
